TIME, UX_2, UY_3,Displacement,Deflection, FY_5, FY_6,Load
2.00E-04,-2.46E-05,3.49E-03,-0.02,3.49,-31.5197463,-30.2836297,61.803376
4.00E-04,-9.63E-05,6.63E-03,-0.10,6.63,-63.0396567,-60.5671664,123.6068231
7.00E-04,-2.64E-04,1.08E-02,-0.26,10.81,-110.320001,-105.992095,216.312096
1.15E-03,-5.93E-04,1.61E-02,-0.59,16.11,-181.244444,-174.13082,355.375264
1.83E-03,-1.15E-03,2.24E-02,-1.15,22.43,-287.687011,-276.386923,564.073934
2.83E-03,-1.98E-03,2.94E-02,-1.98,29.41,-445.735371,-428.206225,873.941596
3.83E-03,-2.72E-03,3.45E-02,-2.72,34.55,-602.913094,-579.170091,1182.083185
4.83E-03,-3.36E-03,3.85E-02,-3.36,38.50,-760.497304,-730.515366,1491.01267
5.83E-03,-3.92E-03,4.17E-02,-3.92,41.66,-919.745767,-883.38733,1803.133097
6.83E-03,-4.39E-03,4.42E-02,-4.39,44.23,-1076.13318,-1033.60869,2109.74187
7.83E-03,-4.82E-03,4.64E-02,-4.82,46.43,-1238.06064,-1188.97396,2427.0346
8.83E-03,-5.17E-03,4.82E-02,-5.17,48.24,-1395.96531,-1340.51899,2736.4843
9.83E-03,-5.48E-03,4.98E-02,-5.48,49.79,-1550.79325,-1489.2921,3040.08535
1.08E-02,-5.76E-03,5.11E-02,-5.76,51.15,-1707.36793,-1639.68127,3347.0492
1.18E-02,-6.00E-03,5.24E-02,-6.00,52.35,-1864.70562,-1790.7605,3655.46612
1.28E-02,-6.22E-03,5.34E-02,-6.22,53.42,-2022.13856,-1941.92574,3964.0643
1.38E-02,-6.42E-03,5.44E-02,-6.42,54.38,-2179.63241,-2093.14561,4272.77802
1.48E-02,-6.59E-03,5.52E-02,-6.59,55.25,-2337.18382,-2244.41576,4581.59958
1.58E-02,-6.75E-03,5.60E-02,-6.75,56.04,-2494.77187,-2395.71707,4890.48894
1.68E-02,-6.90E-03,5.68E-02,-6.90,56.76,-2652.38298,-2547.03733,5199.42031
1.78E-02,-7.03E-03,5.74E-02,-7.03,57.42,-2810.00926,-2698.36954,5508.3788
1.88E-02,-7.15E-03,5.80E-02,-7.15,58.03,-2967.64579,-2849.70938,5817.35517
1.98E-02,-7.26E-03,5.86E-02,-7.26,58.59,-3125.28939,-3001.05414,6126.34353
2.08E-02,-7.36E-03,5.91E-02,-7.36,59.11,-3282.93797,-3152.40207,6435.34004
2.18E-02,-7.45E-03,5.96E-02,-7.45,59.60,-3440.59015,-3303.75204,6744.34219
2.28E-02,-7.54E-03,6.01E-02,-7.54,60.05,-3598.24499,-3455.1033,7053.34829
2.38E-02,-7.62E-03,6.05E-02,-7.62,60.48,-3755.90184,-3606.45537,7362.35721
2.48E-02,-7.69E-03,6.09E-02,-7.69,60.88,-3913.56024,-3757.80792,7671.36816
2.58E-02,-7.76E-03,6.13E-02,-7.76,61.26,-4071.21986,-3909.16071,7980.38057
2.68E-02,-7.82E-03,6.16E-02,-7.82,61.62,-4228.88046,-4060.51361,8289.39407
2.78E-02,-7.88E-03,6.20E-02,-7.88,61.96,-4386.54186,-4211.86651,8598.40837
2.88E-02,-7.93E-03,6.23E-02,-7.93,62.28,-4544.20395,-4363.21933,8907.42328
2.98E-02,-7.98E-03,6.26E-02,-7.98,62.58,-4701.8666,-4514.57203,9216.43863
3.08E-02,-8.03E-03,6.29E-02,-8.03,62.87,-4859.52975,-4665.92459,9525.45434
3.18E-02,-8.07E-03,6.32E-02,-8.07,63.15,-5017.19333,-4817.27698,9834.47031
3.28E-02,-8.11E-03,6.34E-02,-8.11,63.41,-5174.8573,-4968.62919,10143.48649
3.38E-02,-8.15E-03,6.37E-02,-8.15,63.67,-5332.52162,-5119.98122,10452.50284
3.48E-02,-8.19E-03,6.39E-02,-8.19,63.91,-5490.18625,-5271.33306,10761.51931
3.58E-02,-8.22E-03,6.41E-02,-8.22,64.14,-5647.85116,-5422.68471,11070.53587
3.68E-02,-8.25E-03,6.44E-02,-8.25,64.36,-5805.51634,-5574.03618,11379.55252
3.78E-02,-8.28E-03,6.46E-02,-8.28,64.57,-5963.18176,-5725.38746,11688.56922
3.88E-02,-8.31E-03,6.48E-02,-8.31,64.78,-6120.84742,-5876.73857,11997.58599
3.98E-02,-8.33E-03,6.50E-02,-8.33,64.98,-6278.51329,-6028.0895,12306.60279
4.08E-02,-8.35E-03,6.52E-02,-8.35,65.17,-6436.17936,-6179.44027,12615.61963
4.18E-02,-8.37E-03,6.54E-02,-8.37,65.35,-6593.84562,-6330.79087,12924.63649
4.28E-02,-8.39E-03,6.55E-02,-8.39,65.53,-6751.51206,-6482.14131,13233.65337
4.38E-02,-8.41E-03,6.57E-02,-8.41,65.70,-6909.17867,-6633.49159,13542.67026
4.48E-02,-8.43E-03,6.59E-02,-8.43,65.86,-7066.84545,-6784.84173,13851.68718
4.58E-02,-8.45E-03,6.60E-02,-8.45,66.02,-7224.51239,-6936.19172,14160.70411
4.68E-02,-8.46E-03,6.62E-02,-8.46,66.18,-7382.17948,-7087.54157,14469.72105
4.78E-02,-8.47E-03,6.63E-02,-8.47,66.33,-7539.84671,-7238.89128,14778.73799
4.88E-02,-8.48E-03,6.65E-02,-8.48,66.47,-7697.51408,-7390.24087,15087.75495
4.98E-02,-8.50E-03,6.66E-02,-8.50,66.61,-7855.18158,-7541.59032,15396.7719
5.08E-02,-8.51E-03,6.68E-02,-8.51,66.75,-8012.84921,-7692.93965,15705.78886
5.18E-02,-8.51E-03,6.69E-02,-8.51,66.88,-8170.51697,-7844.28886,16014.80583
5.28E-02,-8.52E-03,6.70E-02,-8.52,67.01,-8328.18485,-7995.63796,16323.82281
5.38E-02,-8.53E-03,6.71E-02,-8.53,67.14,-8485.85284,-8146.98694,16632.83978
5.48E-02,-8.54E-03,6.73E-02,-8.54,67.26,-8643.52095,-8298.33581,16941.85676
5.58E-02,-8.54E-03,6.74E-02,-8.54,67.38,-8801.18916,-8449.68457,17250.87373
5.68E-02,-8.55E-03,6.75E-02,-8.55,67.50,-8958.85748,-8601.03323,17559.89071
5.78E-02,-8.55E-03,6.76E-02,-8.55,67.61,-9116.52591,-8752.38179,17868.9077
5.88E-02,-8.56E-03,6.77E-02,-8.56,67.72,-9274.19443,-8903.73025,18177.92468
5.98E-02,-8.56E-03,6.78E-02,-8.56,67.83,-9431.86305,-9055.07862,18486.94167
6.08E-02,-8.56E-03,6.79E-02,-8.56,67.93,-9589.53176,-9206.42689,18795.95865
6.18E-02,-8.56E-03,6.80E-02,-8.56,68.03,-9747.20057,-9357.77507,19104.97564
6.28E-02,-8.56E-03,6.81E-02,-8.56,68.13,-9904.86946,-9509.12317,19413.99263
6.38E-02,-8.56E-03,6.82E-02,-8.56,68.23,-10062.5384,-9660.47117,19723.00957
6.48E-02,-8.56E-03,6.83E-02,-8.56,68.33,-10220.2075,-9811.8191,20032.0266
6.58E-02,-8.56E-03,6.84E-02,-8.56,68.42,-10377.8767,-9963.16694,20341.04364
6.68E-02,-8.56E-03,6.85E-02,-8.56,68.51,-10535.5459,-10114.5147,20650.0606
6.78E-02,-8.56E-03,6.86E-02,-8.56,68.60,-10693.2152,-10265.8624,20959.0776
6.88E-02,-8.56E-03,6.87E-02,-8.56,68.69,-10850.8846,-10417.21,21268.0946
6.98E-02,-8.56E-03,6.88E-02,-8.56,68.77,-11008.554,-10568.5575,21577.1115
7.08E-02,-8.55E-03,6.89E-02,-8.55,68.86,-11166.2236,-10719.905,21886.1286
7.18E-02,-8.55E-03,6.89E-02,-8.55,68.94,-11323.8932,-10871.2524,22195.1456
7.28E-02,-8.55E-03,6.90E-02,-8.55,69.02,-11481.5628,-11022.5997,22504.1625
7.38E-02,-8.54E-03,6.91E-02,-8.54,69.10,-11639.2326,-11173.9469,22813.1795
7.48E-02,-8.54E-03,6.92E-02,-8.54,69.18,-11796.9024,-11325.2941,23122.1965
7.58E-02,-8.53E-03,6.93E-02,-8.53,69.25,-11954.5723,-11476.6412,23431.2135
7.68E-02,-8.53E-03,6.93E-02,-8.53,69.33,-12112.2422,-11627.9883,23740.2305
7.78E-02,-8.52E-03,6.94E-02,-8.52,69.40,-12269.9122,-11779.3353,24049.2475
7.88E-02,-8.52E-03,6.95E-02,-8.52,69.47,-12427.5823,-11930.6822,24358.2645
7.98E-02,-8.51E-03,6.95E-02,-8.51,69.54,-12585.2524,-12082.0291,24667.2815
8.08E-02,-8.50E-03,6.96E-02,-8.50,69.61,-12742.9226,-12233.3759,24976.2985
8.18E-02,-8.50E-03,6.97E-02,-8.50,69.68,-12900.5928,-12384.7227,25285.3155
8.28E-02,-8.49E-03,6.97E-02,-8.49,69.74,-13058.2631,-12536.0693,25594.3324
8.38E-02,-8.48E-03,6.98E-02,-8.48,69.81,-13215.9335,-12687.416,25903.3495
8.48E-02,-8.47E-03,6.99E-02,-8.47,69.87,-13373.6039,-12838.7626,26212.3665
8.58E-02,-8.47E-03,6.99E-02,-8.47,69.94,-13531.2743,-12990.1091,26521.3834
8.68E-02,-8.46E-03,7.00E-02,-8.46,70.00,-13688.9448,-13141.4556,26830.4004
8.78E-02,-8.45E-03,7.01E-02,-8.45,70.06,-13846.6154,-13292.802,27139.4174
8.88E-02,-8.44E-03,7.01E-02,-8.44,70.12,-14004.286,-13444.1484,27448.4344
8.98E-02,-8.43E-03,7.02E-02,-8.43,70.18,-14161.9567,-13595.4947,27757.4514
9.08E-02,-8.42E-03,7.02E-02,-8.42,70.24,-14319.6274,-13746.841,28066.4684
9.18E-02,-8.41E-03,7.03E-02,-8.41,70.29,-14477.2981,-13898.1873,28375.4854
9.28E-02,-8.40E-03,7.04E-02,-8.40,70.35,-14634.9689,-14049.5334,28684.5023
9.38E-02,-8.39E-03,7.04E-02,-8.39,70.41,-14792.6398,-14200.8796,28993.5194
9.48E-02,-8.38E-03,7.05E-02,-8.38,70.46,-14950.3107,-14352.2257,29302.5364
9.58E-02,-8.37E-03,7.05E-02,-8.37,70.51,-15107.9816,-14503.5717,29611.5533
9.68E-02,-8.36E-03,7.06E-02,-8.36,70.57,-15265.6526,-14654.9177,29920.5703
9.78E-02,-8.35E-03,7.06E-02,-8.35,70.62,-15423.3236,-14806.2637,30229.5873
9.88E-02,-8.34E-03,7.07E-02,-8.34,70.67,-15580.9947,-14957.6096,30538.6043
9.98E-02,-8.33E-03,7.07E-02,-8.33,70.72,-15738.6658,-15108.9555,30847.6213
0.100825,-8.32E-03,7.08E-02,-8.32,70.77,-15896.337,-15260.3013,31156.6383
0.101825,-8.31E-03,7.08E-02,-8.31,70.82,-16054.0082,-15411.6471,31465.6553
0.102825,-8.30E-03,7.09E-02,-8.30,70.87,-16211.6794,-15562.9929,31774.6723
0.103825,-8.29E-03,7.09E-02,-8.29,70.92,-16369.3507,-15714.3386,32083.6893
0.104825,-8.27E-03,7.10E-02,-8.27,70.97,-16527.022,-15865.6843,32392.7063
0.105825,-8.26E-03,7.10E-02,-8.26,71.01,-16684.6933,-16017.03,32701.7233
0.106825,-8.25E-03,7.11E-02,-8.25,71.06,-16842.3647,-16168.3756,33010.7403
0.107825,-8.24E-03,7.11E-02,-8.24,71.10,-17000.0361,-16319.7211,33319.7572
0.108825,-8.23E-03,7.11E-02,-8.23,71.15,-17157.7076,-16471.0667,33628.7743
0.109825,-8.21E-03,7.12E-02,-8.21,71.19,-17315.3791,-16622.4122,33937.7913
0.110825,-8.20E-03,7.12E-02,-8.20,71.24,-17473.0506,-16773.7576,34246.8082
0.111825,-8.19E-03,7.13E-02,-8.19,71.28,-17630.7222,-16925.1031,34555.8253
0.112825,-8.17E-03,7.13E-02,-8.17,71.32,-17788.3938,-17076.4485,34864.8423
0.113825,-8.16E-03,7.14E-02,-8.16,71.36,-17946.0654,-17227.7938,35173.8592
0.114825,-8.15E-03,7.14E-02,-8.15,71.40,-18103.7371,-17379.1391,35482.8762
0.115825,-8.13E-03,7.14E-02,-8.13,71.45,-18261.4088,-17530.4844,35791.8932
0.116825,-8.12E-03,7.15E-02,-8.12,71.49,-18419.0805,-17681.8297,36100.9102
0.117825,-8.11E-03,7.15E-02,-8.11,71.53,-18576.7523,-17833.1749,36409.9272
0.118825,-8.09E-03,7.16E-02,-8.09,71.56,-18734.4241,-17984.5201,36718.9442
0.119825,-8.08E-03,7.16E-02,-8.08,71.60,-18892.0959,-18135.8653,37027.9612
0.120825,-8.07E-03,7.16E-02,-8.07,71.64,-19049.7677,-18287.2105,37336.9782
0.121825,-8.05E-03,7.17E-02,-8.05,71.68,-19207.4396,-18438.5556,37645.9952
0.122825,-8.04E-03,7.17E-02,-8.04,71.72,-19365.1115,-18589.9006,37955.0121
0.123825,-8.02E-03,7.18E-02,-8.02,71.76,-19522.7835,-18741.2457,38264.0292
0.124825,-8.01E-03,7.18E-02,-8.01,71.79,-19680.4554,-18892.5907,38573.0461
0.125825,-7.99E-03,7.18E-02,-7.99,71.83,-19838.1274,-19043.9357,38882.0631
0.126825,-7.98E-03,7.19E-02,-7.98,71.86,-19995.7995,-19195.2807,39191.0802
0.127825,-7.97E-03,7.19E-02,-7.97,71.90,-20153.4715,-19346.6256,39500.0971
0.128825,-7.95E-03,7.19E-02,-7.95,71.93,-20311.1436,-19497.9705,39809.1141
0.129825,-7.94E-03,7.20E-02,-7.94,71.97,-20468.8157,-19649.3154,40118.1311
0.130825,-7.92E-03,7.20E-02,-7.92,72.00,-20626.4878,-19800.6603,40427.1481
0.131825,-7.91E-03,7.20E-02,-7.91,72.04,-20784.16,-19952.0051,40736.1651
0.132825,-7.89E-03,7.21E-02,-7.89,72.07,-20941.8322,-20103.3499,41045.1821
0.133825,-7.87E-03,7.21E-02,-7.87,72.10,-21099.5044,-20254.6947,41354.1991
0.134825,-7.86E-03,7.21E-02,-7.86,72.14,-21257.1766,-20406.0395,41663.2161
0.135825,-7.84E-03,7.22E-02,-7.84,72.17,-21414.8489,-20557.3842,41972.2331
0.136825,-7.83E-03,7.22E-02,-7.83,72.20,-21572.5212,-20708.7289,42281.2501
0.137825,-7.81E-03,7.22E-02,-7.81,72.23,-21730.1935,-20860.0736,42590.2671
0.138825,-7.80E-03,7.23E-02,-7.80,72.27,-21887.8658,-21011.4182,42899.284
0.139825,-7.78E-03,7.23E-02,-7.78,72.30,-22045.5382,-21162.7629,43208.3011
0.140825,-7.77E-03,7.23E-02,-7.77,72.33,-22203.2105,-21314.1075,43517.318
0.141825,-7.75E-03,7.24E-02,-7.75,72.36,-22360.883,-21465.4521,43826.3351
0.142825,-7.73E-03,7.24E-02,-7.73,72.39,-22518.5554,-21616.7967,44135.3521
0.143825,-7.72E-03,7.24E-02,-7.72,72.42,-22676.2278,-21768.1412,44444.369
0.144825,-7.70E-03,7.24E-02,-7.70,72.45,-22833.9003,-21919.4857,44753.386
0.145825,-7.69E-03,7.25E-02,-7.69,72.48,-22991.5728,-22070.8302,45062.403
0.146825,-7.67E-03,7.25E-02,-7.67,72.51,-23149.2453,-22222.1747,45371.42
0.147825,-7.65E-03,7.25E-02,-7.65,72.54,-23306.9178,-22373.5192,45680.437
0.148825,-7.64E-03,7.26E-02,-7.64,72.57,-23464.5904,-22524.8636,45989.454
0.149825,-7.62E-03,7.26E-02,-7.62,72.59,-23622.263,-22676.208,46298.471
0.150825,-7.60E-03,7.26E-02,-7.60,72.62,-23779.9356,-22827.5524,46607.488
0.151825,-7.59E-03,7.27E-02,-7.59,72.65,-23937.6082,-22978.8968,46916.505
0.152825,-7.57E-03,7.27E-02,-7.57,72.68,-24095.2808,-23130.2411,47225.5219
0.153825,-7.55E-03,7.27E-02,-7.55,72.71,-24252.9535,-23281.5855,47534.539
0.154825,-7.54E-03,7.27E-02,-7.54,72.73,-24410.6262,-23432.9298,47843.556
0.155825,-7.52E-03,7.28E-02,-7.52,72.76,-24568.2989,-23584.2741,48152.573
0.156825,-7.50E-03,7.28E-02,-7.50,72.79,-24725.9716,-23735.6183,48461.5899
0.157825,-7.49E-03,7.28E-02,-7.49,72.81,-24883.6443,-23886.9626,48770.6069
0.158825,-7.47E-03,7.28E-02,-7.47,72.84,-25041.3171,-24038.3068,49079.6239
0.159825,-7.45E-03,7.29E-02,-7.45,72.86,-25198.9898,-24189.6511,49388.6409
0.160825,-7.44E-03,7.29E-02,-7.44,72.89,-25356.6626,-24340.9953,49697.6579
0.161825,-7.42E-03,7.29E-02,-7.42,72.92,-25514.3354,-24492.3394,50006.6748
0.162825,-7.40E-03,7.29E-02,-7.40,72.94,-25672.0083,-24643.6836,50315.6919
0.163825,-7.38E-03,7.30E-02,-7.38,72.97,-25829.6811,-24795.0278,50624.7089
0.164825,-7.37E-03,7.30E-02,-7.37,72.99,-25987.354,-24946.3719,50933.7259
0.165825,-7.35E-03,7.30E-02,-7.35,73.02,-26145.0269,-25097.716,51242.7429
0.166825,-7.33E-03,7.30E-02,-7.33,73.04,-26302.6998,-25249.0601,51551.7599
0.167825,-7.31E-03,7.31E-02,-7.31,73.06,-26460.3727,-25400.4042,51860.7769
0.168825,-7.30E-03,7.31E-02,-7.30,73.09,-26618.0456,-25551.7482,52169.7938
0.169825,-7.28E-03,7.31E-02,-7.28,73.11,-26775.7186,-25703.0923,52478.8109
0.170825,-7.26E-03,7.31E-02,-7.26,73.14,-26933.3915,-25854.4363,52787.8278
0.171825,-7.24E-03,7.32E-02,-7.24,73.16,-27091.0645,-26005.7803,53096.8448
0.172825,-7.23E-03,7.32E-02,-7.23,73.18,-27248.7375,-26157.1243,53405.8618
0.173825,-7.21E-03,7.32E-02,-7.21,73.21,-27406.4105,-26308.4683,53714.8788
0.174825,-7.19E-03,7.32E-02,-7.19,73.23,-27564.0836,-26459.8123,54023.8959
0.175825,-7.17E-03,7.33E-02,-7.17,73.25,-27721.7566,-26611.1562,54332.9128
0.176825,-7.15E-03,7.33E-02,-7.15,73.27,-27879.4297,-26762.5001,54641.9298
0.177825,-7.14E-03,7.33E-02,-7.14,73.30,-28037.1027,-26913.844,54950.9467
0.178825,-7.12E-03,7.33E-02,-7.12,73.32,-28194.7758,-27065.188,55259.9638
0.179825,-7.10E-03,7.33E-02,-7.10,73.34,-28352.4489,-27216.5318,55568.9807
0.180825,-7.08E-03,7.34E-02,-7.08,73.36,-28510.1221,-27367.8757,55877.9978
0.181825,-7.06E-03,7.34E-02,-7.06,73.38,-28667.7952,-27519.2196,56187.0148
0.182825,-7.05E-03,7.34E-02,-7.05,73.41,-28825.4683,-27670.5634,56496.0317
0.183825,-7.03E-03,7.34E-02,-7.03,73.43,-28983.1415,-27821.9072,56805.0487
0.184825,-7.01E-03,7.34E-02,-7.01,73.45,-29140.8147,-27973.2511,57114.0658
0.185825,-6.99E-03,7.35E-02,-6.99,73.47,-29298.4879,-28124.5949,57423.0828
0.186825,-6.97E-03,7.35E-02,-6.97,73.49,-29456.1611,-28275.9386,57732.0997
0.187825,-6.95E-03,7.35E-02,-6.95,73.51,-29613.8343,-28427.2824,58041.1167
0.188825,-6.94E-03,7.35E-02,-6.94,73.53,-29771.5075,-28578.6262,58350.1337
0.189825,-6.92E-03,7.36E-02,-6.92,73.55,-29929.1808,-28729.9699,58659.1507
0.190825,-6.90E-03,7.36E-02,-6.90,73.57,-30086.854,-28881.3136,58968.1676
0.191825,-6.88E-03,7.36E-02,-6.88,73.59,-30244.5273,-29032.6574,59277.1847
0.192825,-6.86E-03,7.36E-02,-6.86,73.61,-30402.2006,-29184.0011,59586.2017
0.193825,-6.84E-03,7.36E-02,-6.84,73.63,-30559.8739,-29335.3448,59895.2187
0.194825,-6.83E-03,7.37E-02,-6.83,73.65,-30717.5472,-29486.6884,60204.2356
0.195825,-6.81E-03,7.37E-02,-6.81,73.67,-30875.2205,-29638.0321,60513.2526
0.196825,-6.79E-03,7.37E-02,-6.79,73.69,-31032.8939,-29789.3758,60822.2697
0.197825,-6.77E-03,7.37E-02,-6.77,73.71,-31190.5672,-29940.7194,61131.2866
0.198825,-6.75E-03,7.37E-02,-6.75,73.73,-31348.2406,-30092.063,61440.3036
0.199825,-6.73E-03,7.37E-02,-6.73,73.75,-31505.914,-30243.4067,61749.3207
0.200825,-6.71E-03,7.38E-02,-6.71,73.77,-31663.5874,-30394.7503,62058.3377
0.201825,-6.69E-03,7.38E-02,-6.69,73.79,-31821.2608,-30546.0938,62367.3546
0.202825,-6.67E-03,7.38E-02,-6.67,73.81,-31978.9342,-30697.4374,62676.3716
0.203825,-6.66E-03,7.38E-02,-6.66,73.82,-32136.6076,-30848.781,62985.3886
0.204825,-6.64E-03,7.38E-02,-6.64,73.84,-32294.281,-31000.1246,63294.4056
0.205825,-6.62E-03,7.39E-02,-6.62,73.86,-32451.9545,-31151.4681,63603.4226
0.206825,-6.60E-03,7.39E-02,-6.60,73.88,-32609.6279,-31302.8116,63912.4395
0.207825,-6.58E-03,7.39E-02,-6.58,73.90,-32767.3014,-31454.1552,64221.4566
0.208825,-6.56E-03,7.39E-02,-6.56,73.92,-32924.9749,-31605.4987,64530.4736
0.209825,-6.54E-03,7.39E-02,-6.54,73.93,-33082.6484,-31756.8422,64839.4906
0.210825,-6.52E-03,7.40E-02,-6.52,73.95,-33240.3219,-31908.1857,65148.5076
0.211825,-6.50E-03,7.40E-02,-6.50,73.97,-33397.9954,-32059.5291,65457.5245
0.212825,-6.48E-03,7.40E-02,-6.48,73.99,-33555.6689,-32210.8726,65766.5415
0.213825,-6.47E-03,7.40E-02,-6.47,74.00,-33713.3425,-32362.2161,66075.5586
0.214825,-6.45E-03,7.40E-02,-6.45,74.02,-33871.016,-32513.5595,66384.5755
0.215825,-6.43E-03,7.40E-02,-6.43,74.04,-34028.6896,-32664.903,66693.5926
0.216825,-6.41E-03,7.41E-02,-6.41,74.06,-34186.3631,-32816.2464,67002.6095
0.217825,-6.39E-03,7.41E-02,-6.39,74.07,-34344.0367,-32967.5898,67311.6265
0.218825,-6.37E-03,7.41E-02,-6.37,74.09,-34501.7103,-33118.9332,67620.6435
0.219825,-6.35E-03,7.41E-02,-6.35,74.11,-34659.3839,-33270.2766,67929.6605
0.220825,-6.33E-03,7.41E-02,-6.33,74.12,-34817.0575,-33421.62,68238.6775
0.221825,-6.31E-03,7.41E-02,-6.31,74.14,-34974.7311,-33572.9634,68547.6945
0.222825,-6.29E-03,7.42E-02,-6.29,74.16,-35132.4047,-33724.3067,68856.7114
0.223825,-6.27E-03,7.42E-02,-6.27,74.17,-35290.0784,-33875.6501,69165.7285
0.224825,-6.25E-03,7.42E-02,-6.25,74.19,-35447.752,-34026.9934,69474.7454
0.225825,-6.23E-03,7.42E-02,-6.23,74.20,-35605.4257,-34178.3368,69783.7625
0.226825,-6.21E-03,7.42E-02,-6.21,74.22,-35763.0993,-34329.6801,70092.7794
0.227825,-6.19E-03,7.42E-02,-6.19,74.24,-35920.773,-34481.0234,70401.7964
0.228825,-6.17E-03,7.43E-02,-6.17,74.25,-36078.4467,-34632.3667,70710.8134
0.229825,-6.15E-03,7.43E-02,-6.15,74.27,-36236.1204,-34783.71,71019.8304
0.230825,-6.13E-03,7.43E-02,-6.13,74.28,-36393.7941,-34935.0533,71328.8474
0.231825,-6.11E-03,7.43E-02,-6.11,74.30,-36551.4678,-35086.3966,71637.8644
0.232825,-6.10E-03,7.43E-02,-6.10,74.32,-36709.1415,-35237.7399,71946.8814
0.233825,-6.08E-03,7.43E-02,-6.08,74.33,-36866.8153,-35389.0831,72255.8984
0.234825,-6.06E-03,7.43E-02,-6.06,74.35,-37024.489,-35540.4264,72564.9154
0.235825,-6.04E-03,7.44E-02,-6.04,74.36,-37182.1628,-35691.7696,72873.9324
0.236825,-6.02E-03,7.44E-02,-6.02,74.38,-37339.8365,-35843.1129,73182.9494
0.237825,-6.00E-03,7.44E-02,-6.00,74.39,-37497.5103,-35994.4561,73491.9664
0.238825,-5.98E-03,7.44E-02,-5.98,74.41,-37655.184,-36145.7993,73800.9833
0.239825,-5.96E-03,7.44E-02,-5.96,74.42,-37812.8578,-36297.1425,74110.0003
0.240825,-5.94E-03,7.44E-02,-5.94,74.44,-37970.5316,-36448.4857,74419.0173
0.241825,-5.92E-03,7.45E-02,-5.92,74.45,-38128.2054,-36599.8289,74728.0343
0.242825,-5.90E-03,7.45E-02,-5.90,74.47,-38285.8792,-36751.1721,75037.0513
0.243825,-5.88E-03,7.45E-02,-5.88,74.48,-38443.553,-36902.5153,75346.0683
