TIME, UY_6, UX_5, FY_3, FY_4,Displacement,Deflection,lOad,Reaction, FX_2,,,
2.00E-04,1.32E-03,4.35E-05,-17.8014553,-17.103355,0.04,1.32,34.90,1999.70,-1999.70238,,,
4.00E-04,1.95E-03,8.63E-05,-35.613959,-34.2174672,0.09,1.95,69.83,3999.85,-3999.84868,,,
7.00E-04,2.46E-03,1.53E-04,-62.3059536,-59.8625238,0.15,2.46,122.17,6998.96,-6998.96063,,,
1.15E-03,2.85E-03,2.55E-04,-102.358682,-98.3444822,0.26,2.85,200.70,11498.26,-11498.2629,,,
1.83E-03,3.16E-03,4.12E-04,-162.438514,-156.068119,0.41,3.16,318.51,18247.23,-18247.2316,,,
2.84E-03,3.40E-03,6.51E-04,-252.558435,-242.653722,0.65,3.40,495.21,28370.69,-28370.686,,,
4.36E-03,3.59E-03,1.01E-03,-387.738364,-372.532153,1.01,3.59,760.27,43555.87,-43555.8692,,,
6.36E-03,3.72E-03,1.49E-03,-565.753109,-543.565485,1.49,3.72,1109.32,63552.82,-63552.82,,,
8.36E-03,3.81E-03,1.96E-03,-743.766688,-714.597657,1.96,3.81,1458.36,83549.68,-83549.6788,,,
1.04E-02,3.87E-03,2.44E-03,-921.781242,-885.630829,2.44,3.87,1807.41,103546.58,-103546.584,,,
1.24E-02,3.91E-03,2.92E-03,-1099.79587,-1056.66402,2.92,3.91,2156.46,123543.51,-123543.511,,,
1.44E-02,3.95E-03,3.40E-03,-1277.81045,-1227.69716,3.40,3.95,2505.51,143540.44,-143540.437,,,
1.64E-02,3.98E-03,3.88E-03,-1455.825,-1398.73027,3.88,3.98,2854.56,163537.36,-163537.363,,,
1.84E-02,4.00E-03,4.37E-03,-1633.83954,-1569.76337,4.37,4.00,3203.60,183534.29,-183534.289,,,
2.04E-02,4.02E-03,4.85E-03,-1811.85408,-1740.79647,4.85,4.02,3552.65,203531.21,-203531.214,,,
2.24E-02,4.04E-03,5.33E-03,-1989.86862,-1911.82956,5.33,4.04,3901.70,223528.14,-223528.14,,,
2.44E-02,4.06E-03,5.82E-03,-2167.88316,-2082.86266,5.82,4.06,4250.75,243525.07,-243525.065,,,
2.64E-02,4.07E-03,6.30E-03,-2345.8977,-2253.89575,6.30,4.07,4599.79,263521.99,-263521.991,,,
2.84E-02,4.09E-03,6.79E-03,-2523.91223,-2424.92884,6.79,4.09,4948.84,283518.92,-283518.916,,,
3.04E-02,4.10E-03,7.27E-03,-2701.92677,-2595.96193,7.27,4.10,5297.89,303515.84,-303515.841,,,
3.24E-02,4.11E-03,7.76E-03,-2879.9413,-2766.99502,7.76,4.11,5646.94,323512.77,-323512.766,,,
3.44E-02,4.12E-03,8.25E-03,-3057.95584,-2938.02811,8.25,4.12,5995.98,343509.69,-343509.691,,,
3.64E-02,4.13E-03,8.73E-03,-3235.97037,-3109.06119,8.73,4.13,6345.03,363506.62,-363506.615,,,
3.84E-02,4.14E-03,9.22E-03,-3413.9849,-3280.09428,9.22,4.14,6694.08,383503.54,-383503.54,,,
4.04E-02,4.15E-03,9.71E-03,-3591.99943,-3451.12736,9.71,4.15,7043.13,403500.46,-403500.464,,415189.941,7247.167361
4.24E-02,4.16E-03,1.02E-02,-3770.01396,-3622.16044,10.20,4.16,7392.17,423497.39,-423497.389,,,
4.44E-02,4.17E-03,1.07E-02,-3948.02849,-3793.19352,10.69,4.17,7741.22,443494.31,-443494.313,,,
4.64E-02,4.18E-03,1.12E-02,-4126.04302,-3964.2266,11.19,4.18,8090.27,463491.24,-463491.237,,,
4.84E-02,4.18E-03,1.17E-02,-4304.05755,-4135.25968,11.68,4.18,8439.32,483488.16,-483488.161,,,
5.04E-02,4.19E-03,1.22E-02,-4482.07207,-4306.29276,12.17,4.19,8788.36,503485.09,-503485.085,,,
5.24E-02,4.20E-03,1.27E-02,-4660.0866,-4477.32583,12.67,4.20,9137.41,523482.01,-523482.009,,,
5.44E-02,4.20E-03,1.32E-02,-4838.10112,-4648.35891,13.16,4.20,9486.46,543478.93,-543478.932,,,
5.64E-02,4.21E-03,1.37E-02,-5016.11564,-4819.39198,13.66,4.21,9835.51,563475.86,-563475.856,,,
5.84E-02,4.21E-03,1.42E-02,-5194.13016,-4990.42506,14.15,4.21,10184.56,583472.78,-583472.779,,,
6.04E-02,4.22E-03,1.47E-02,-5372.14468,-5161.45813,14.65,4.22,10533.60,603469.70,-603469.702,,,
6.24E-02,4.23E-03,1.51E-02,-5550.1592,-5332.4912,15.15,4.23,10882.65,623466.63,-623466.625,,,
6.44E-02,4.23E-03,1.56E-02,-5728.17372,-5503.52427,15.65,4.23,11231.70,643463.55,-643463.548,,,
6.64E-02,4.24E-03,1.61E-02,-5906.18823,-5674.55734,16.15,4.24,11580.75,663460.47,-663460.471,,,
6.84E-02,4.24E-03,1.66E-02,-6084.20275,-5845.59041,16.65,4.24,11929.79,683457.39,-683457.394,,,
7.04E-02,4.25E-03,1.71E-02,-6262.21726,-6016.62348,17.15,4.25,12278.84,703454.32,-703454.316,,,
7.24E-02,4.25E-03,1.76E-02,-6440.23177,-6187.65654,17.65,4.25,12627.89,723451.24,-723451.238,,,
7.44E-02,4.26E-03,1.82E-02,-6618.24628,-6358.68961,18.15,4.26,12976.94,743448.16,-743448.161,,,
7.64E-02,4.26E-03,1.87E-02,-6796.26079,-6529.72267,18.65,4.26,13325.98,763445.08,-763445.083,,,
7.84E-02,4.27E-03,1.92E-02,-6974.2753,-6700.75574,19.16,4.27,13675.03,783442.01,-783442.005,,,
8.04E-02,4.27E-03,1.97E-02,-7152.28981,-6871.7888,19.66,4.27,14024.08,803438.93,-803438.927,,,
8.24E-02,4.28E-03,2.02E-02,-7330.30431,-7042.82186,20.17,4.28,14373.13,823435.85,-823435.848,,,
8.44E-02,4.28E-03,2.07E-02,-7508.31882,-7213.85492,20.67,4.28,14722.17,843432.77,-843432.77,,,
8.64E-02,4.28E-03,2.12E-02,-7686.33332,-7384.88798,21.18,4.28,15071.22,863429.69,-863429.692,,,
8.84E-02,4.29E-03,2.17E-02,-7864.34782,-7555.92104,21.69,4.29,15420.27,883426.61,-883426.613,,,
9.04E-02,4.29E-03,2.22E-02,-8042.36232,-7726.95409,22.20,4.29,15769.32,903423.53,-903423.534,,,
9.24E-02,4.30E-03,2.27E-02,-8220.37682,-7897.98715,22.71,4.30,16118.36,923420.46,-923420.455,,,
9.44E-02,4.30E-03,2.32E-02,-8398.39131,-8069.0202,23.21,4.30,16467.41,943417.38,-943417.376,,,
9.64E-02,4.30E-03,2.37E-02,-8576.40581,-8240.05326,23.73,4.30,16816.46,963414.30,-963414.297,,,
9.84E-02,4.31E-03,2.42E-02,-8754.4203,-8411.08631,24.24,4.31,17165.51,983411.22,-983411.217,,,
0.10035625,4.31E-03,2.47E-02,-8932.4348,-8582.11936,24.75,4.31,17514.55,1003408.14,-1003408.14,,,
0.10235625,4.32E-03,2.53E-02,-9110.44929,-8753.15241,25.26,4.32,17863.60,1023405.06,-1023405.06,,,
0.10435625,4.32E-03,2.58E-02,-9288.46378,-8924.18546,25.78,4.32,18212.65,1043401.98,-1043401.98,,,
0.10635625,4.32E-03,2.63E-02,-9466.47826,-9095.21851,26.29,4.32,18561.70,1063398.90,-1063398.9,,,
0.10835625,4.33E-03,2.68E-02,-9644.49275,-9266.25156,26.81,4.33,18910.74,1083395.82,-1083395.82,,,
0.11035625,4.33E-03,2.73E-02,-9822.50724,-9437.28461,27.32,4.33,19259.79,1103392.74,-1103392.74,,,
0.11235625,4.34E-03,2.78E-02,-10000.5217,-9608.31765,27.84,4.34,19608.84,1123389.66,-1123389.66,,,
0.11435625,4.34E-03,2.84E-02,-10178.5362,-9779.3507,28.36,4.34,19957.89,1143386.58,-1143386.58,,,
0.11635625,4.34E-03,2.89E-02,-10356.5507,-9950.38374,28.87,4.34,20306.93,1163383.50,-1163383.5,,,
0.11835625,4.35E-03,2.94E-02,-10534.5652,-10121.4168,29.39,4.35,20655.98,1183380.42,-1183380.42,,,
0.12035625,4.35E-03,2.99E-02,-10712.5796,-10292.4498,29.91,4.35,21005.03,1203377.33,-1203377.33,,,
0.12235625,4.35E-03,3.04E-02,-10890.5941,-10463.4829,30.43,4.35,21354.08,1223374.25,-1223374.25,,,
0.12435625,4.36E-03,3.10E-02,-11068.6086,-10634.5159,30.96,4.36,21703.12,1243371.17,-1243371.17,,,
0.12635625,4.36E-03,3.15E-02,-11246.6231,-10805.5489,31.48,4.36,22052.17,1263368.09,-1263368.09,,,
0.12835625,4.36E-03,3.20E-02,-11424.6375,-10976.582,32.00,4.36,22401.22,1283365.01,-1283365.01,,,
0.13035625,4.37E-03,3.25E-02,-11602.652,-11147.615,32.53,4.37,22750.27,1303361.93,-1303361.93,,,
0.13235625,4.37E-03,3.31E-02,-11780.6665,-11318.648,33.05,4.37,23099.31,1323358.84,-1323358.84,,,
0.13435625,4.37E-03,3.36E-02,-11958.6809,-11489.6811,33.58,4.37,23448.36,1343355.76,-1343355.76,,,
0.13635625,4.38E-03,3.41E-02,-12136.6954,-11660.7141,34.10,4.38,23797.41,1363352.68,-1363352.68,,,
0.13835625,4.38E-03,3.46E-02,-12314.7099,-11831.7471,34.63,4.38,24146.46,1383349.60,-1383349.6,,,
0.14035625,4.38E-03,3.52E-02,-12492.7243,-12002.7802,35.16,4.38,24495.50,1403346.52,-1403346.52,,,
0.14235625,4.39E-03,3.57E-02,-12670.7388,-12173.8132,35.69,4.39,24844.55,1423343.43,-1423343.43,,,
0.14435625,4.39E-03,3.62E-02,-12848.7532,-12344.8462,36.22,4.39,25193.60,1443340.35,-1443340.35,,,
0.14635625,4.39E-03,3.67E-02,-13026.7677,-12515.8793,36.75,4.39,25542.65,1463337.27,-1463337.27,,,
0.14835625,4.40E-03,3.73E-02,-13204.7821,-12686.9123,37.28,4.40,25891.69,1483334.18,-1483334.18,,,
0.15035625,4.40E-03,3.78E-02,-13382.7966,-12857.9453,37.81,4.40,26240.74,1503331.10,-1503331.1,,,
0.15235625,4.40E-03,3.83E-02,-13560.8111,-13028.9783,38.34,4.40,26589.79,1523328.02,-1523328.02,,,
0.15435625,4.41E-03,3.89E-02,-13738.8255,-13200.0114,38.88,4.41,26938.84,1543324.93,-1543324.93,,,
0.15635625,4.41E-03,3.94E-02,-13916.8399,-13371.0444,39.41,4.41,27287.88,1563321.85,-1563321.85,,,
0.15835625,4.41E-03,3.99E-02,-14094.8544,-13542.0774,39.95,4.41,27636.93,1583318.77,-1583318.77,,,
0.16035625,4.42E-03,4.05E-02,-14272.8688,-13713.1104,40.48,4.42,27985.98,1603315.68,-1603315.68,,,
0.16235625,4.42E-03,4.10E-02,-14450.8833,-13884.1434,41.02,4.42,28335.03,1623312.60,-1623312.6,,,
0.16435625,4.42E-03,4.16E-02,-14628.8977,-14055.1765,41.56,4.42,28684.07,1643309.51,-1643309.51,,,
0.16635625,4.43E-03,4.21E-02,-14806.9122,-14226.2095,42.10,4.43,29033.12,1663306.43,-1663306.43,,,
0.16835625,4.43E-03,4.26E-02,-14984.9266,-14397.2425,42.64,4.43,29382.17,1683303.34,-1683303.34,,,
0.17035625,4.43E-03,4.32E-02,-15162.941,-14568.2755,43.18,4.43,29731.22,1703300.26,-1703300.26,,,
0.17235625,4.44E-03,4.37E-02,-15340.9555,-14739.3085,43.72,4.44,30080.26,1723297.17,-1723297.17,,,
0.17435625,4.44E-03,4.43E-02,-15518.9699,-14910.3415,44.26,4.44,30429.31,1743294.09,-1743294.09,,,
0.17635625,4.44E-03,4.48E-02,-15696.9843,-15081.3745,44.81,4.44,30778.36,1763291.00,-1763291,,,
0.17835625,4.45E-03,4.53E-02,-15874.9987,-15252.4075,45.35,4.45,31127.41,1783287.92,-1783287.92,,,
0.18035625,4.45E-03,4.59E-02,-16053.0132,-15423.4405,45.89,4.45,31476.45,1803284.83,-1803284.83,,,
0.18235625,4.45E-03,4.64E-02,-16231.0276,-15594.4735,46.44,4.45,31825.50,1823281.74,-1823281.74,,,
0.18435625,4.45E-03,4.70E-02,-16409.042,-15765.5065,46.99,4.45,32174.55,1843278.66,-1843278.66,,,
0.18635625,4.46E-03,4.75E-02,-16587.0564,-15936.5396,47.53,4.46,32523.60,1863275.57,-1863275.57,,,
0.18835625,4.46E-03,4.81E-02,-16765.0709,-16107.5726,48.08,4.46,32872.64,1883272.48,-1883272.48,,,
0.19035625,4.46E-03,4.86E-02,-16943.0853,-16278.6056,48.63,4.46,33221.69,1903269.40,-1903269.4,,,
0.19235625,4.47E-03,4.92E-02,-17121.0997,-16449.6386,49.18,4.47,33570.74,1923266.31,-1923266.31,,,
0.19435625,4.47E-03,4.97E-02,-17299.1141,-16620.6716,49.73,4.47,33919.79,1943263.22,-1943263.22,,,
0.19635625,4.47E-03,5.03E-02,-17477.1285,-16791.7045,50.29,4.47,34268.83,1963260.13,-1963260.13,,,
0.19835625,4.48E-03,5.08E-02,-17655.1429,-16962.7375,50.84,4.48,34617.88,1983257.05,-1983257.05,,,
0.20035625,4.48E-03,5.14E-02,-17833.1573,-17133.7705,51.39,4.48,34966.93,2003253.96,-2003253.96,,,
0.20235625,4.48E-03,5.19E-02,-18011.1717,-17304.8035,51.95,4.48,35315.98,2023250.87,-2023250.87,,,
0.20435625,4.48E-03,5.25E-02,-18189.1861,-17475.8365,52.50,4.48,35665.02,2043247.78,-2043247.78,,,
0.20635625,4.49E-03,5.31E-02,-18367.2005,-17646.8695,53.06,4.49,36014.07,2063244.70,-2063244.7,,,
0.20835625,4.49E-03,5.36E-02,-18545.2149,-17817.9025,53.62,4.49,36363.12,2083241.61,-2083241.61,,,
0.21035625,4.49E-03,5.42E-02,-18723.2293,-17988.9355,54.17,4.49,36712.16,2103238.52,-2103238.52,,,
0.21235625,4.50E-03,5.47E-02,-18901.2437,-18159.9685,54.73,4.50,37061.21,2123235.43,-2123235.43,,,
0.21435625,4.50E-03,5.53E-02,-19079.2581,-18331.0015,55.29,4.50,37410.26,2143232.34,-2143232.34,,,
0.21635625,4.50E-03,5.59E-02,-19257.2725,-18502.0344,55.85,4.50,37759.31,2163229.25,-2163229.25,,,
0.21835625,4.51E-03,5.64E-02,-19435.2869,-18673.0674,56.42,4.51,38108.35,2183226.16,-2183226.16,,,
0.22035625,4.51E-03,5.70E-02,-19613.3013,-18844.1004,56.98,4.51,38457.40,2203223.07,-2203223.07,,,
0.22235625,4.51E-03,5.75E-02,-19791.3157,-19015.1334,57.54,4.51,38806.45,2223219.98,-2223219.98,,,
0.22435625,4.51E-03,5.81E-02,-19969.33,-19186.1664,58.11,4.51,39155.50,2243216.89,-2243216.89,,,
0.22635625,4.52E-03,5.87E-02,-20147.3444,-19357.1993,58.67,4.52,39504.54,2263213.80,-2263213.8,,,
0.22835625,4.52E-03,5.92E-02,-20325.3588,-19528.2323,59.24,4.52,39853.59,2283210.71,-2283210.71,,,
0.23035625,4.52E-03,5.98E-02,-20503.3732,-19699.2653,59.81,4.52,40202.64,2303207.62,-2303207.62,,,
0.23235625,4.53E-03,6.04E-02,-20681.3875,-19870.2983,60.37,4.53,40551.69,2323204.53,-2323204.53,,,
0.23435625,4.53E-03,6.09E-02,-20859.4019,-20041.3312,60.94,4.53,40900.73,2343201.44,-2343201.44,,,
0.23635625,4.53E-03,6.15E-02,-21037.4163,-20212.3642,61.51,4.53,41249.78,2363198.35,-2363198.35,,,
0.23835625,4.54E-03,6.21E-02,-21215.4307,-20383.3972,62.08,4.54,41598.83,2383195.25,-2383195.25,,,
0.24035625,4.54E-03,6.27E-02,-21393.445,-20554.4301,62.66,4.54,41947.88,2403192.16,-2403192.16,,,
0.24235625,4.54E-03,6.32E-02,-21571.4594,-20725.4631,63.23,4.54,42296.92,2423189.07,-2423189.07,,,
0.24435625,4.54E-03,6.38E-02,-21749.4737,-20896.4961,63.80,4.54,42645.97,2443185.98,-2443185.98,,,
0.24635625,4.55E-03,6.44E-02,-21927.4881,-21067.529,64.38,4.55,42995.02,2463182.89,-2463182.89,,,
0.24835625,4.55E-03,6.50E-02,-22105.5025,-21238.562,64.95,4.55,43344.06,2483179.79,-2483179.79,,,
0.25035625,4.55E-03,6.55E-02,-22283.5168,-21409.5949,65.53,4.55,43693.11,2503176.70,-2503176.7,,,
0.25235625,4.56E-03,6.61E-02,-22461.5312,-21580.6279,66.11,4.56,44042.16,2523173.61,-2523173.61,,,
0.25435625,4.56E-03,6.67E-02,-22639.5455,-21751.6609,66.69,4.56,44391.21,2543170.51,-2543170.51,,,
0.25635625,4.56E-03,6.73E-02,-22817.5599,-21922.6938,67.27,4.56,44740.25,2563167.42,-2563167.42,,,
0.25835625,4.57E-03,6.78E-02,-22995.5742,-22093.7268,67.85,4.57,45089.30,2583164.33,-2583164.33,,,
0.26035625,4.57E-03,6.84E-02,-23173.5885,-22264.7597,68.43,4.57,45438.35,2603161.23,-2603161.23,,,
0.26235625,4.57E-03,6.90E-02,-23351.6029,-22435.7927,69.01,4.57,45787.40,2623158.14,-2623158.14,,,
0.26435625,4.57E-03,6.96E-02,-23529.6172,-22606.8256,69.60,4.57,46136.44,2643155.04,-2643155.04,,,
0.26635625,4.58E-03,7.02E-02,-23707.6315,-22777.8586,70.18,4.58,46485.49,2663151.95,-2663151.95,,,
0.26835625,4.58E-03,7.08E-02,-23885.6459,-22948.8915,70.77,4.58,46834.54,2683148.85,-2683148.85,,,
0.27035625,4.58E-03,7.14E-02,-24063.6602,-23119.9244,71.35,4.58,47183.58,2703145.76,-2703145.76,,,
0.27235625,4.59E-03,7.19E-02,-24241.6745,-23290.9574,71.94,4.59,47532.63,2723142.66,-2723142.66,,,
0.27435625,4.59E-03,7.25E-02,-24419.6889,-23461.9903,72.53,4.59,47881.68,2743139.57,-2743139.57,,,
0.27635625,4.59E-03,7.31E-02,-24597.7032,-23633.0233,73.12,4.59,48230.73,2763136.47,-2763136.47,,,
0.27835625,4.59E-03,7.37E-02,-24775.7175,-23804.0562,73.71,4.59,48579.77,2783133.38,-2783133.38,,,
0.28035625,4.60E-03,7.43E-02,-24953.7318,-23975.0891,74.30,4.60,48928.82,2803130.28,-2803130.28,,,
0.28235625,4.60E-03,7.49E-02,-25131.7461,-24146.1221,74.89,4.60,49277.87,2823127.18,-2823127.18,,,
0.28435625,4.60E-03,7.55E-02,-25309.7604,-24317.155,75.49,4.60,49626.92,2843124.09,-2843124.09,,,
0.28635625,4.61E-03,7.61E-02,-25487.7748,-24488.1879,76.08,4.61,49975.96,2863120.99,-2863120.99,,,
0.28835625,4.61E-03,7.67E-02,-25665.7891,-24659.2209,76.68,4.61,50325.01,2883117.89,-2883117.89,,,
0.29035625,4.61E-03,7.73E-02,-25843.8034,-24830.2538,77.27,4.61,50674.06,2903114.80,-2903114.8,,,
0.29235625,4.62E-03,7.79E-02,-26021.8177,-25001.2867,77.87,4.62,51023.10,2923111.70,-2923111.7,,,
0.29435625,4.62E-03,7.85E-02,-26199.832,-25172.3196,78.47,4.62,51372.15,2943108.60,-2943108.6,,,
0.29635625,4.62E-03,7.91E-02,-26377.8463,-25343.3526,79.07,4.62,51721.20,2963105.50,-2963105.5,,,
0.29835625,4.62E-03,7.97E-02,-26555.8606,-25514.3855,79.67,4.62,52070.25,2983102.40,-2983102.4,,,
0.30035625,4.63E-03,8.03E-02,-26733.8749,-25685.4184,80.27,4.63,52419.29,3003099.31,-3003099.31,,,
0.30235625,4.63E-03,8.09E-02,-26911.8891,-25856.4513,80.87,4.63,52768.34,3023096.21,-3023096.21,,,
0.30435625,4.63E-03,8.15E-02,-27089.9034,-26027.4842,81.48,4.63,53117.39,3043093.11,-3043093.11,,,
0.30635625,4.64E-03,8.21E-02,-27267.9177,-26198.5171,82.08,4.64,53466.43,3063090.01,-3063090.01,,,
0.30835625,4.64E-03,8.27E-02,-27445.932,-26369.55,82.69,4.64,53815.48,3083086.91,-3083086.91,,,
0.31035625,4.64E-03,8.33E-02,-27623.9463,-26540.583,83.29,4.64,54164.53,3103083.81,-3103083.81,,,
0.31235625,4.65E-03,8.39E-02,-27801.9606,-26711.6159,83.90,4.65,54513.58,3123080.71,-3123080.71,,,
0.31435625,4.65E-03,8.45E-02,-27979.9748,-26882.6488,84.51,4.65,54862.62,3143077.61,-3143077.61,,,
0.31635625,4.65E-03,8.51E-02,-28157.9891,-27053.6817,85.12,4.65,55211.67,3163074.51,-3163074.51,,,
0.31835625,4.65E-03,8.57E-02,-28336.0034,-27224.7146,85.73,4.65,55560.72,3183071.41,-3183071.41,,,
0.32035625,4.66E-03,8.63E-02,-28514.0176,-27395.7475,86.34,4.66,55909.77,3203068.30,-3203068.3,,,
0.32235625,4.66E-03,8.70E-02,-28692.0319,-27566.7804,86.96,4.66,56258.81,3223065.20,-3223065.2,,,
0.32435625,4.66E-03,8.76E-02,-28870.0462,-27737.8133,87.57,4.66,56607.86,3243062.10,-3243062.1,,,
0.32635625,4.67E-03,8.82E-02,-29048.0604,-27908.8462,88.19,4.67,56956.91,3263059.00,-3263059,,,
0.32835625,4.67E-03,8.88E-02,-29226.0747,-28079.8791,88.80,4.67,57305.95,3283055.90,-3283055.9,,,
0.33035625,4.67E-03,8.94E-02,-29404.0889,-28250.9119,89.42,4.67,57655.00,3303052.79,-3303052.79,,,
0.33235625,4.68E-03,9.00E-02,-29582.1032,-28421.9448,90.04,4.68,58004.05,3323049.69,-3323049.69,,,
0.33435625,4.68E-03,9.07E-02,-29760.1174,-28592.9777,90.66,4.68,58353.10,3343046.59,-3343046.59,,,
0.33635625,4.68E-03,9.13E-02,-29938.1316,-28764.0106,91.28,4.68,58702.14,3363043.48,-3363043.48,,,
0.33835625,4.68E-03,9.19E-02,-30116.1459,-28935.0435,91.90,4.68,59051.19,3383040.38,-3383040.38,,,
